base,dataset,reranker,seed,metric,value
als,amazon-beauty,dpp_alpha=4.0,4,HR@10,0.07893490046262741
als,amazon-beauty,dpp_alpha=4.0,4,Diversity,0.9598661661148071
als,amazon-beauty,dpp_alpha=4.0,4,Coverage,0.13079198159710811
als,amazon-beauty,dpp_alpha=4.0,4,AvgPop,79.35007106983797
als,ml-1m,none,0,NDCG@10,0.09839382767677307
als,ml-1m,none,0,Recall@10,0.07292237132787704
als,ml-1m,none,0,HR@10,0.5048865079879761
als,ml-1m,none,0,Diversity,0.6488423347473145
als,ml-1m,none,0,Coverage,0.2035097650721766
als,ml-1m,none,0,AvgPop,882.0055325492795
als,ml-1m,mmr_lam=1.0,0,NDCG@10,0.09839382767677307
als,ml-1m,mmr_lam=1.0,0,Recall@10,0.07292237132787704
als,ml-1m,mmr_lam=1.0,0,HR@10,0.5048865079879761
als,ml-1m,mmr_lam=1.0,0,Diversity,0.6488423347473145
als,ml-1m,mmr_lam=1.0,0,Coverage,0.2035097650721766
als,ml-1m,mmr_lam=1.0,0,AvgPop,882.0055325492795
als,ml-1m,mmr_lam=0.8,0,NDCG@10,0.09743101894855499
als,ml-1m,mmr_lam=0.8,0,Recall@10,0.0713534876704216
als,ml-1m,mmr_lam=0.8,0,HR@10,0.5048865079879761
als,ml-1m,mmr_lam=0.8,0,Diversity,0.7025145888328552
als,ml-1m,mmr_lam=0.8,0,Coverage,0.20011321822813474
als,ml-1m,mmr_lam=0.8,0,AvgPop,896.9275467947656
als,ml-1m,mmr_lam=0.6,0,NDCG@10,0.09433908015489578
als,ml-1m,mmr_lam=0.6,0,Recall@10,0.06709720194339752
als,ml-1m,mmr_lam=0.6,0,HR@10,0.5000828504562378
als,ml-1m,mmr_lam=0.6,0,Diversity,0.778904914855957
als,ml-1m,mmr_lam=0.6,0,Coverage,0.1950183979620719
als,ml-1m,mmr_lam=0.6,0,AvgPop,901.7766274639722
als,ml-1m,mmr_lam=0.4,0,NDCG@10,0.09063488990068436
als,ml-1m,mmr_lam=0.4,0,Recall@10,0.06277622282505035
als,ml-1m,mmr_lam=0.4,0,HR@10,0.4944508969783783
als,ml-1m,mmr_lam=0.4,0,Diversity,0.8261841535568237
als,ml-1m,mmr_lam=0.4,0,Coverage,0.20096235493914522
als,ml-1m,mmr_lam=0.4,0,AvgPop,900.1670200430677
als,ml-1m,mmr_lam=0.2,0,NDCG@10,0.08650446683168411
als,ml-1m,mmr_lam=0.2,0,Recall@10,0.05722552910447121
als,ml-1m,mmr_lam=0.2,0,HR@10,0.478052020072937
als,ml-1m,mmr_lam=0.2,0,Diversity,0.8455684781074524
als,ml-1m,mmr_lam=0.2,0,Coverage,0.21001981318992358
als,ml-1m,mmr_lam=0.2,0,AvgPop,878.5694715918503
als,ml-1m,dpp_alpha=0.5,0,NDCG@10,0.08491026610136032
als,ml-1m,dpp_alpha=0.5,0,Recall@10,0.05378147214651108
als,ml-1m,dpp_alpha=0.5,0,HR@10,0.4722544252872467
als,ml-1m,dpp_alpha=0.5,0,Diversity,0.8737585544586182
als,ml-1m,dpp_alpha=0.5,0,Coverage,0.20775544862722897
als,ml-1m,dpp_alpha=0.5,0,AvgPop,861.9013748550605
als,ml-1m,dpp_alpha=1.0,0,NDCG@10,0.08667836338281631
als,ml-1m,dpp_alpha=1.0,0,Recall@10,0.05598505586385727
als,ml-1m,dpp_alpha=1.0,0,HR@10,0.4762299060821533
als,ml-1m,dpp_alpha=1.0,0,Diversity,0.8641946315765381
als,ml-1m,dpp_alpha=1.0,0,Coverage,0.20067930936880837
als,ml-1m,dpp_alpha=1.0,0,AvgPop,873.8103693887692
als,ml-1m,dpp_alpha=2.0,0,NDCG@10,0.08961717784404755
als,ml-1m,dpp_alpha=2.0,0,Recall@10,0.05907635763287544
als,ml-1m,dpp_alpha=2.0,0,HR@10,0.48583734035491943
